,timestamp,photoIndex,V,geometry,pictureUrl
1526,1496843012.24,0.0,8.98634107851,POINT (-73.97175258999999 40.643504445),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_cdc67_593847e43fa8e.jpg
2624,1496843023.67,1.0,15.9283530671,POINT (-73.97184097499999 40.64349325000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f3ccd_593847e703b49.jpg
3651,1496843033.65,2.0,16.058836408,POINT (-73.97188192499999 40.643562725),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_15600_593847e73048c.jpg
4150,1496843038.66,3.0,19.4113843501,POINT (-73.97200721999999 40.64357914),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_799ba_593847e6812ab.jpg
4501,1496843041.64,4.0,23.126943801,POINT (-73.972105425 40.64358239),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d0096_593847e7e5bb3.jpg
4756,1496843044.65,5.0,30.4576763561,POINT (-73.972227965 40.643577085),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_032b2_593847ec225d7.jpg
5070,1496843047.66,6.0,23.8854227905,POINT (-73.97234405500001 40.64356586),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_18e29_593847ec4457c.jpg
5297,1496843049.67,7.0,17.959632003,POINT (-73.97241510500001 40.643575215),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_fe5df_593847ed39cbb.jpg
5677,1496843053.65,8.0,23.4849372041,POINT (-73.972578445 40.64354251),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_8cda8_593847ee5506f.jpg
6042,1496843056.66,9.0,41.8979607736,POINT (-73.97272568 40.64354106),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_30e62_593847f14cba6.jpg
6283,1496843059.64,10.0,24.2163320889,POINT (-73.97287108 40.64351331),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_ae566_593847efcb9c5.jpg
6597,1496843062.64,11.0,29.6123656522,POINT (-73.97299273499999 40.64346294),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_62bf1_593847f184f40.jpg
6907,1496843065.64,12.0,32.5740165367,POINT (-73.97314094500001 40.64344177),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_8df7b_593847f457e9b.jpg
7205,1496843068.65,13.0,41.3857270738,POINT (-73.973301345 40.64344203),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_9414a_593847f3b01e1.jpg
7514,1496843071.65,14.0,42.8786220135,POINT (-73.97346476 40.64343813),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_edab7_593847f671593.jpg
7813,1496843074.64,15.0,36.8560259909,POINT (-73.9736357 40.64342648),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_db3a1_593847f5d0159.jpg
8119,1496843077.64,16.0,45.3043366336,POINT (-73.97378612 40.64343221999999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_85b6f_593847f7741cf.jpg
8425,1496843080.65,17.0,28.4620296224,POINT (-73.97386506500001 40.643517655),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_64b82_593847f9270fc.jpg
8724,1496843083.64,18.0,22.8854098137,POINT (-73.97388340500001 40.643646085),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_a2699_593847f9a5122.jpg
9035,1496843086.65,19.0,30.1362734806,POINT (-73.973923535 40.64376203499999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e8966_593847faa6605.jpg
9386,1496843089.65,20.0,25.825066527,POINT (-73.97395391000001 40.64387356),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_ca538_593847fb1ac4f.jpg
9638,1496843092.64,21.0,33.3780110944,POINT (-73.97396953500001 40.643981915),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_030d7_593847fcb28bd.jpg
9946,1496843095.64,22.0,19.5337254584,POINT (-73.973995945 40.644095305),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_134ce_593847fd42db7.jpg
10258,1496843098.65,23.0,19.6761763763,POINT (-73.97402685500001 40.64421733),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_648b9_593847fe4eebf.jpg
10557,1496843101.65,24.0,15.3617125051,POINT (-73.97407391 40.64433197),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_adaf0_593847ff66b97.jpg
10882,1496843104.65,25.0,20.7559682228,POINT (-73.97406154000001 40.644425375),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_cf579_59384800e59bd.jpg
11073,1496843106.65,26.0,15.9597455058,POINT (-73.97404206 40.64448732),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_eb935_593848050864c.jpg
11378,1496843109.66,27.0,12.4581412412,POINT (-73.97403462 40.644582765),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e0e28_59384802289a9.jpg
11837,1496843113.65,28.0,13.6001587251,POINT (-73.974102195 40.644688575),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_129e4_5938480516b93.jpg
12012,1496843115.65,29.0,30.4895195459,POINT (-73.97413624000001 40.64474217),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e2541_5938480624a51.jpg
12299,1496843118.67,30.0,26.3611447336,POINT (-73.974150995 40.644844215),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e3e6f_593848077ed46.jpg
12601,1496843121.64,31.0,22.7230090249,POINT (-73.974158765 40.64494441),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f0d0b_59384808ef0dc.jpg
12909,1496843124.65,32.0,38.5522803665,POINT (-73.97417745 40.64505416999999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_853b0_5938480ca96c4.jpg
13212,1496843127.67,33.0,22.1208098295,POINT (-73.974197825 40.645154755),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_daa79_5938480d20bef.jpg
