long,lat,accelerationX,accelerationY,accelerationZ
49,-73.97179916,40.64346946,,,
50,,,-0.3368764,0.083558105,0.26169223
52,,,-0.640812,0.2652641,0.19374332
54,,,-0.640812,0.2652641,0.19374332
56,,,-0.640812,0.2652641,0.19374332
58,,,-0.640812,0.2652641,0.19374332
60,,,-0.640812,0.2652641,0.19374332
62,,,0.03017672,0.28813925,-0.26400226
64,,,0.03017672,0.28813925,-0.26400226
66,,,0.03017672,0.28813925,-0.26400226
68,,,0.03017672,0.28813925,-0.26400226
70,,,0.03017672,0.28813925,-0.26400226
72,,,-0.1941847,0.119853966,0.55239797
74,,,-0.1941847,0.119853966,0.55239797
76,,,-0.1941847,0.119853966,0.55239797
78,,,-0.1941847,0.119853966,0.55239797
80,,,-0.1941847,0.119853966,0.55239797
82,,,-0.14163257,0.06759454,0.12623969
84,,,-0.14163257,0.06759454,0.12623969
86,,,-0.14163257,0.06759454,0.12623969
88,,,-0.14163257,0.06759454,0.12623969
90,,,-0.14163257,0.06759454,0.12623969
92,,,0.0034308995,0.46412107,-0.3832457
94,,,0.0034308995,0.46412107,-0.3832457
96,,,0.0034308995,0.46412107,-0.3832457
98,,,0.0034308995,0.46412107,-0.3832457
100,,,0.0034308995,0.46412107,-0.3832457
102,,,-0.6537781,0.15164356,0.03961415
104,,,-0.6537781,0.15164356,0.03961415
106,,,-0.6537781,0.15164356,0.03961415
108,,,-0.6537781,0.15164356,0.03961415
110,,,-0.6537781,0.15164356,0.03961415
112,,,-0.44321278,0.63314605,-0.3111447
114,,,-0.44321278,0.63314605,-0.3111447
116,,,-0.44321278,0.63314605,-0.3111447
118,,,-0.44321278,0.63314605,-0.3111447
120,,,-0.44321278,0.63314605,-0.3111447
122,,,0.04603894,0.21719973,0.065642305
124,,,0.04603894,0.21719973,0.065642305
126,,,0.04603894,0.21719973,0.065642305
128,,,0.04603894,0.21719973,0.065642305
130,,,0.04603894,0.21719973,0.065642305
132,,,-0.38237637,0.4141667,-0.22868092
134,,,-0.38237637,0.4141667,-0.22868092
136,,,-0.38237637,0.4141667,-0.22868092
138,,,-0.38237637,0.4141667,-0.22868092
140,,,-0.38237637,0.4141667,-0.22868092
142,,,-0.41866273,0.20391648,-0.44930497
144,,,-0.41866273,0.20391648,-0.44930497
146,,,-0.41866273,0.20391648,-0.44930497
148,,,-0.41866273,0.20391648,-0.44930497
150,,,-0.41866273,0.20391648,-0.44930497
152,,,0.3442979,0.2482342,-0.52295876
154,,,0.3442979,0.2482342,-0.52295876
156,,,0.3442979,0.2482342,-0.52295876
158,,,0.3442979,0.2482342,-0.52295876
160,,,0.3442979,0.2482342,-0.52295876
162,,,-0.56639755,0.473197,-0.620585
164,,,-0.56639755,0.473197,-0.620585
166,,,-0.56639755,0.473197,-0.620585
